dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
2022-04-25,25,4,2022,620,0,Norway,NO,NOR,5367580,Europe
2022-04-25,25,4,2022,8413,66,Greece,EL,GRC,10718565,Europe
2022-04-25,25,4,2022,8455,16,Belgium,BE,BEL,11522440,Europe
2022-04-25,25,4,2022,87,8,Croatia,HR,HRV,4058165,Europe
2022-04-25,25,4,2022,909,2,Lithuania,LT,LTU,2794090,Europe
2022-04-25,25,4,2022,983,10,Denmark,DK,DNK,5822763,Europe
2022-04-26,26,4,2022,0,0,Hungary,HU,HUN,9769526,Europe
2022-04-26,26,4,2022,1140,2,Bulgaria,BG,BGR,6951482,Europe
2022-04-26,26,4,2022,1147,4,Slovenia,SI,SVN,2095861,Europe
2022-04-26,26,4,2022,1223,12,Ireland,IE,IRL,4964440,Europe
2022-04-26,26,4,2022,1228,29,Poland,PL,POL,37958138,Europe
2022-04-26,26,4,2022,139534,128,Germany,DE,DEU,83166711,Europe
2022-04-26,26,4,2022,14292,22,Portugal,PT,PRT,10295909,Europe
2022-04-26,26,4,2022,1484,10,Denmark,DK,DNK,5822763,Europe
2022-04-26,26,4,2022,1648,11,Slovakia,SK,SVK,5457873,Europe
2022-04-26,26,4,2022,1910,6,Netherlands,NL,NLD,17407585,Europe
2022-04-26,26,4,2022,2035,10,Czechia,CZ,CZE,10693939,Europe
2022-04-26,26,4,2022,259,1,Malta,MT,MLT,514564,Europe
2022-04-26,26,4,2022,29984,146,Italy,IT,ITA,59641488,Europe
2022-04-26,26,4,2022,3394,26,Finland,FI,FIN,5525292,Europe
2022-04-26,26,4,2022,352,0,Norway,NO,NOR,5367580,Europe
2022-04-26,26,4,2022,375,,Estonia,EE,EST,1328976,Europe
2022-04-26,26,4,2022,453,9,Sweden,SE,SWE,10327589,Europe
2022-04-26,26,4,2022,47421,54,Spain,ES,ESP,47332614,Europe
2022-04-26,26,4,2022,4925,43,Greece,EL,GRC,10718565,Europe
2022-04-26,26,4,2022,591,11,Latvia,LV,LVA,1907675,Europe
2022-04-26,26,4,2022,6014,18,Belgium,BE,BEL,11522440,Europe
2022-04-26,26,4,2022,7,0,Liechtenstein,LI,LIE,38747,Europe
2022-04-26,26,4,2022,704,11,Croatia,HR,HRV,4058165,Europe
2022-04-26,26,4,2022,724,2,Romania,RO,ROU,19328838,Europe
2022-04-26,26,4,2022,8143,14,Austria,AT,AUT,8901064,Europe
2022-04-26,26,4,2022,823,1,Luxembourg,LU,LUX,626108,Europe
2022-04-26,26,4,2022,97498,170,France,FR,FRA,67320216,Europe
2022-04-26,26,4,2022,994,2,Lithuania,LT,LTU,2794090,Europe
2022-04-27,27,4,2022,,52,Spain,ES,ESP,47332614,Europe
2022-04-27,27,4,2022,11487,46,Greece,EL,GRC,10718565,Europe
2022-04-27,27,4,2022,115774,125,Germany,DE,DEU,83166711,Europe
2022-04-27,27,4,2022,1207,12,Denmark,DK,DNK,5822763,Europe
2022-04-27,27,4,2022,1364,6,Slovakia,SK,SVK,5457873,Europe
2022-04-27,27,4,2022,1390,7,Croatia,HR,HRV,4058165,Europe
2022-04-27,27,4,2022,14424,18,Portugal,PT,PRT,10295909,Europe
2022-04-27,27,4,2022,1464,26,Romania,RO,ROU,19328838,Europe
2022-04-27,27,4,2022,1646,15,Czechia,CZ,CZE,10693939,Europe
2022-04-27,27,4,2022,1752,2,Netherlands,NL,NLD,17407585,Europe
2022-04-27,27,4,2022,189,3,Malta,MT,MLT,514564,Europe
2022-04-27,27,4,2022,279,5,Iceland,IS,ISL,364134,Europe
2022-04-27,27,4,2022,294,1,Slovenia,SI,SVN,2095861,Europe
2022-04-27,27,4,2022,30,0,Liechtenstein,LI,LIE,38747,Europe
2022-04-27,27,4,2022,3112,19,Finland,FI,FIN,5525292,Europe
2022-04-27,27,4,2022,326,0,Estonia,EE,EST,1328976,Europe
2022-04-27,27,4,2022,3619,61,Hungary,HU,HUN,9769526,Europe
2022-04-27,27,4,2022,409,61,Norway,NO,NOR,5367580,Europe
2022-04-27,27,4,2022,428,4,Sweden,SE,SWE,10327589,Europe
2022-04-27,27,4,2022,5354,14,Belgium,BE,BEL,11522440,Europe
2022-04-27,27,4,2022,561,1,Luxembourg,LU,LUX,626108,Europe
